ID_x,HWSD2_SMU_ID,NSC_MU_SOURCE1,NSC_MU_SOURCE2,WISE30s_SMU_ID_x,HWSD1_SMU_ID_x,COVERAGE_x,SEQUENCE,SHARE_x,NSC,WRB_PHASES_x,WRB4_x,WRB2_x,FAO90_x,ROOT_DEPTH_x,PHASE1_x,PHASE2_x,ROOTS_x,IL_x,SWR,DRAINAGE_x,AWC_x,ADD_PROP_x,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_x,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,ID_y,WISE30s_SMU_ID_y,HWSD1_SMU_ID_y,COVERAGE_y,SHARE_y,WRB4_y,WRB_PHASES_y,WRB2_y,WRB2_CODE,FAO90_y,KOPPEN,TEXTURE_USDA_y,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_y,ROOT_DEPTH_y,AWC_y,PHASE1_y,PHASE2_y,ROOTS_y,IL_y,ADD_PROP_y
23993,31999,,,WD20031999,31999,3,1,100,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D6,100,150,11,90,5,5,12.0,C,1.5199999809265137,1.2799999713897705,0.10399999469518661,6.699999809265137,0.17000000178813934,11.0,3,56,6.0,4.0,97,0,2,0.0,0.10000000149011612,0,22308,WD20031999,31999,3,100,AR,ARkk,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,1.0,0.0,,,0.0
24319,31996,,,WD20031996,31996,3,1,70,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D7,150,200,8,90,5,5,12.0,C,1.5099999904632568,1.2799999713897705,0.06599999964237213,7.099999904632568,0.2199999988079071,5.0,3,59,5.0,5.0,98,0,5,5.199999809265137,0.10000000149011612,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
24330,31999,,,WD20031999,31999,3,1,100,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D7,150,200,8,90,5,5,12.0,C,1.5099999904632568,1.2799999713897705,0.06599999964237213,7.099999904632568,0.2199999988079071,5.0,3,59,5.0,5.0,98,0,5,5.199999809265137,0.10000000149011612,0,22308,WD20031999,31999,3,100,AR,ARkk,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,1.0,0.0,,,0.0
31503,31998,,,WD20031998,31998,3,2,15,,AThy,ATpa&ATtr,AT,ATc,1.0,,,,,,MW,134.0,0.0,D1,0,20,11,44,35,21,9.0,M,1.3899999856948853,1.7300000190734863,1.1399999856948853,8.199999809265137,1.2400000095367432,10.0,10,38,8.0,6.0,72,0,2,15.899999618530273,0.20000000298023224,1,125410,WD20031998,31998,3,85,GYpt,GYpt,GY,14,GYp,B,11.0,1.6200000047683716,1.190000057220459,MW,1,145,,,,,0.0
31543,31998,,,WD20031998,31998,3,2,15,,AThy,ATpa&ATtr,AT,ATc,,,,,,,MW,,0.0,D2,20,40,27,41,36,23,9.0,M,1.399999976158142,1.7599999904632568,0.8989999890327454,8.300000190734863,0.8899999856948853,10.0,10,36,10.0,10.0,95,0,2,10.600000381469727,0.20000000298023224,1,125410,WD20031998,31998,3,85,GYpt,GYpt,GY,14,GYp,B,11.0,1.6200000047683716,1.190000057220459,MW,1,145,,,,,0.0
31583,31998,,,WD20031998,31998,3,2,15,,AThy,ATpa&ATtr,AT,ATc,,,,,,,MW,,0.0,D3,40,60,27,40,36,24,9.0,M,1.399999976158142,1.7699999809265137,0.7139999866485596,8.199999809265137,0.75,9.0,9,36,9.0,10.0,96,0,2,8.199999809265137,0.20000000298023224,1,125410,WD20031998,31998,3,85,GYpt,GYpt,GY,14,GYp,B,11.0,1.6200000047683716,1.190000057220459,MW,1,145,,,,,0.0
31623,31998,,,WD20031998,31998,3,2,15,,AThy,ATpa&ATtr,AT,ATc,,,,,,,MW,,0.0,D4,60,80,29,43,35,22,9.0,M,1.409999966621399,1.7400000095367432,0.5989999771118164,8.199999809265137,0.6399999856948853,9.0,10,34,12.0,12.0,94,0,2,7.5,0.20000000298023224,1,125410,WD20031998,31998,3,85,GYpt,GYpt,GY,14,GYp,B,11.0,1.6200000047683716,1.190000057220459,MW,1,145,,,,,0.0
31663,31998,,,WD20031998,31998,3,2,15,,AThy,ATpa&ATtr,AT,ATc,,,,,,,MW,,0.0,D5,80,100,35,44,36,20,9.0,M,1.399999976158142,1.7100000381469727,0.5649999976158142,8.199999809265137,0.6100000143051147,9.0,9,33,12.0,12.0,94,0,2,7.0,0.20000000298023224,2,125410,WD20031998,31998,3,85,GYpt,GYpt,GY,14,GYp,B,11.0,1.6200000047683716,1.190000057220459,MW,1,145,,,,,0.0
31703,31998,,,WD20031998,31998,3,2,15,,AThy,ATpa&ATtr,AT,ATc,,,,,,,MW,,0.0,D6,100,150,33,48,35,17,9.0,M,1.350000023841858,1.659999966621399,0.4860000014305115,8.300000190734863,0.5,9.0,9,36,21.0,20.0,99,0,2,6.5,0.20000000298023224,2,125410,WD20031998,31998,3,85,GYpt,GYpt,GY,14,GYp,B,11.0,1.6200000047683716,1.190000057220459,MW,1,145,,,,,0.0
31743,31998,,,WD20031998,31998,3,2,15,,AThy,ATpa&ATtr,AT,ATc,,,,,,,MW,,0.0,D7,150,200,46,33,42,25,9.0,M,1.4600000381469727,1.7799999713897705,0.9449999928474426,7.800000190734863,0.5799999833106995,12.0,13,42,-8.0,-8.0,75,0,1,1.0,0.20000000298023224,3,125410,WD20031998,31998,3,85,GYpt,GYpt,GY,14,GYp,B,11.0,1.6200000047683716,1.190000057220459,MW,1,145,,,,,0.0
36098,1964,,,WD20001964,1964,4,1,70,,CLha,CLha,CL,CLh,1.0,,,,,,MW,150.0,0.0,D1,0,20,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1,36098,WD20001964,1964,4,70,CLha,CLha,CL,7,CLh,B,9.0,1.6799999475479126,1.4500000476837158,MW,1,150,,,,,0.0
36101,1846,,,WD20001846,1846,4,1,60,,CLha,CLha,CL,CLh,1.0,,,,,,MW,150.0,0.0,D1,0,20,12,49,33,18,9.0,M,1.4500000476837158,1.6799999475479126,0.6969999670982361,8.199999809265137,0.800000011920929,9.0,14,67,38.0,38.0,100,0,2,13.899999618530273,0.20000000298023224,1,36101,WD20001846,1846,4,60,CLha,CLha,CL,7,CLh,B,9.0,1.6799999475479126,1.4500000476837158,MW,1,150,,,,,0.0
